unit,sizen_r2,indic_is,geo\time	2017 	2014 	2011 	2009 
PC_ENT,10_C10_18,E_RFPRI,ES	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,EU15	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,EU25	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,EU27	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,EU28	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,FI	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,FR	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,HR	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFPRI,HU	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFPRI,IE	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,IT	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,LT	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,LU	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,LV	: 	: 	: 	: c
PC_ENT,10_C10_18,E_RFPRI,MT	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFPRI,NL	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFPRI,NO	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFPRI,PL	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,PT	: 	: 	: 	: u
PC_ENT,10_C10_18,E_RFPRI,RO	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFPRI,SE	: 	: 	: 	0 n
PC_ENT,10_C10_18,E_RFPRI,SI	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,SK	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPRI,UK	: 	: 	: 	1 
PC_ENT,10_C10_18,E_RFPSDP,AT	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFPSDP,BE	: 	: 	3 	: 
PC_ENT,10_C10_18,E_RFPSDP,BG	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFPSDP,CY	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFPSDP,CZ	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFPSDP,DE	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFPSDP,DK	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFPSDP,EA	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFPSDP,EE	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFPSDP,EL	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFPSDP,ES	: 	: 	5 	: 
PC_ENT,10_C10_18,E_RFPSDP,EU15	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFPSDP,EU27	: 	: 	2 	: 
